,emotion,labels_clean
39931,angry,Thats such a relief Did it clean up easily
39932,angry,Luckilly I dried it up pretty quickly so there was no serious damage 
39942,annoyed,You must use it a lot You will understand it soon
39943,annoyed,yeah you will do it for sure i know it
39944,annoyed,I do use it everyday I guess I just need more practice
39948,angry,wow thats would be very annoying like someone just rummaging around your room
39949,angry,Yeah but kids dont care Everything is theirs to them
39950,angry,exactly i tell my brother  he says but they are just little girls  like yeah there little but teach them not to touch things that are not theres 
39963,disgusted,Yum Pizza is the best
39964,disgusted,Oh noooo That should be illegal
39965,disgusted,Not this one I got though it had anchovies on it Yuck
39991,angry,Cant those be clipped Ive never had a dog
39992,angry,Oh Maybe you should buy plastic stuff then lol
39993,angry,well i feel like he is a little too old for that now but yeah they can
40045,disgusted,Lol brothers mine was the same when we were little
40046,disgusted,MAybe try having a serious talk
40047,disgusted,thats terrible Im not siure if I can deal with it anylonger 
40076,annoyed,Maybe yo have a bad signal
40077,annoyed,My tv sed to do that Then they moved my satellite
40078,annoyed,Im thinking something like that may be the case IU am going to keep trying different fixes 
40088,disgusted,Oh noooo did it bring bugs too
40089,disgusted,Yuck I hope you get rid of them quick and easy
40090,disgusted,Yes there were flies all over my room
40098,angry,Wow What about her work
40099,angry,Thats too bad
40100,angry,I still cant understand how one can be so irresponsible and careless Just because of him both of our works had been given failed score
40104,angry,Im sorry Im sure something better will come along
40105,angry,Always be positive 
40106,angry,Yes I am sure of it I will find something eventually
40120,annoyed,Hes probably eating the sandwich lol
40121,annoyed,Divorce him
40122,annoyed,No Im hungry lol
40162,annoyed,How is she sneaky
40163,annoyed,WHy did she do that
40164,annoyed,She added things to her school supply list that she didnt need
40165,annoyed,So I can buy her dmb things she can decorate lol
40198,angry,That sounds so frustrating I cant stand messy people
40199,angry,Sounds like it Are you in a management position or something where you can say something to them
40200,angry,Same here Its like they dont care about anyone else but themselves
40201,angry,Unfortunately not but I plan to pass my concerns up the chain if it keeps up which it probably will
40240,disgusted,you should thrash in the waste bin
40241,disgusted,oh ok that good you took safety precaution and others from getting harm by doing that welldone
40242,disgusted,Yeah I had to dispose of it but wow was it gross
40271,angry,Have you thought about getting a second opinion
40272,angry,Perhaps you should get different insurance
40273,angry,Maybe but my insurance only covers so many places in my area
40274,angry,Right its that easy
40295,angry,I absolutely hate liars   Are you sure he is really a friend if he lied to you
40296,angry,Oh I see   I guess its kinda hard to give a friend you have a long time over a lie they told   Hopefully heshe had a good reason to tell the lie then
40297,angry,He is a friend i have for sometime now
40308,disgusted,What show was this on
40309,disgusted,It is so sad that he died
40310,disgusted,It was Anthony Bourdain Parts Unknown
40311,disgusted,Yeah  suprising too as he seemed to have his life on track after all his issuues when he was young
40354,disgusted,oh no why is that
40355,disgusted,i know right but what can we do he is the president 
40356,disgusted,He tweets about dumb stuff
40403,annoyed,CAn you not ask him not to
40404,annoyed,Could you hide the keys
40405,annoyed,Yea but he never listens
40412,angry,No  did you used to text while driving
40413,angry,But maybe some people arent as consientous as you and did get into accidents
40414,angry,Yes and I never got into any accidents
40418,angry,Are they going to pay for the repair
40419,angry,That stinks nothing you can do
40420,angry,it was in a store parking lot  dont even know who did it
40467,disgusted,Why not
40468,disgusted,Its not fair  but I suppose the opposite view is that if they make enough money then you dont need the support that otehr people do
40469,disgusted,If your parents make too much money you do not qualify
40514,disgusted,oh wow that is gross
40515,disgusted,yea i dont see why thats allowed on tv how is that not animal cruelty
40516,disgusted,Disgusting right It was wriggling in his mouth
40572,annoyed,Im sorry that happened
40573,annoyed,I hope it goes better next time
40574,annoyed,I sat by myself for 30 minutes I was not very happy by the end
40592,disgusted,Woah Really Thats weird
40593,disgusted,Maybe it tastes amazing though  well never know They put vinegar on ice cream in italy sometimes
40594,disgusted,Yeah it was really nasty
40654,disgusted,oh i heard about this earlier its still gross and i dont know why they showed that on tv
40655,disgusted,keep spreading the word
40656,disgusted,I know Ive been telling everyone about it
40657,disgusted,Dont worry I will
40667,disgusted,I cannot even imagine how horrible that must have been What did you do
40668,disgusted,LOLI think I would have still been showering
40669,disgusted,I took a shower I was so grossed out by it
40795,disgusted,Yuck that sounds really gross
40796,disgusted,Did you ask him why he did it
40797,disgusted,It really looked so gross
40831,annoyed,From your house
40832,annoyed,Why wouldnt he just go to the store and buy his own
40833,annoyed,Yeah I get so irritated when he does that
40843,disgusted,Ew That must have been so disgusting
40844,disgusted,It must have tasted even worse 
40845,disgusted,Yeah it looked pretty gross
40874,angry,I feel sorry for you how did you reacted 
40875,angry,This is normal maybe you should take so time alone to think about how you really fell about the situation Anger  can make you do things that you will regret later 
40876,angry,I was so angry but also so shocked that I didnt even know what to say to her
40889,angry,Oh that can be annoying I guess in her defence it was a Saturday night But still it doesnt take much effort to try to keep the noise down even if you do get in late I hope you were able to sleep okay 
40890,angry,Yeah like you suggest it is the little considerations of the other persons needs that can make the difference between an okay and a really good flatmate
40891,angry,Yeah I agree we both work shifts though so sometimes I have to work all of Saturday day and I always make sure to keep the noise down if shes had to work a Saturday Thank you
